"id","mName","mAddress","mNumber","mEmail","mVet","mService","mSchedule","mLink","mUsers_id","mClinic_id","mPrice","mTime"
"b3909e7d-ba6e-4a1d-b85f-9ee8e3d61097","Pet Needs","Opposite Pagasa Public Market, Gordon Ave.","09187279922","pet@gmail.com","Perry","Boarding,  Home Service,  Digital Xray,  Lab Tests,  Blood Chemistry","Thursday","pet.com","e575bd15-d5c9-4e23-9e81-c5b8b4632fac","c430f241-5986-41e7-8791-6558ea002e3e","300","9am to 6pm"
"98532213-f4ec-4a02-9428-a429d63224c5","Kitto's Veterinary Clinic","National Highway, Olongapo City","09199829453","kitto@gmail.com","Kit","Deworming,     Confinement,     Boarding","Monday,   Tuesday,   Wednesday,   Thursday,   Friday","kitt.com","e575bd15-d5c9-4e23-9e81-c5b8b4632fac","e1a187d6-5dea-4cbe-a799-8ff3f7865bdd","300","9am to 5pm"
"d242af0a-28dc-4cd0-8de1-d19cc7cc54c0","Doc J Veterinary Clinic","Olongapo","808","jhjljjkl","kjlkljhjlk","Pet Supply,    Boarding,   Lab Tests,   Surgery,   Vaccination","Tuesday","docj.com","e575bd15-d5c9-4e23-9e81-c5b8b4632fac","37e0088a-64b4-4e93-b9df-40107c222612","300","8am to 5pm"
"fec412fc-7aa6-4f83-8b1a-f9c53b27a8c3","Puss and Boots","Olongapo","09123456789","vet5@gmail.com","eryl","Boarding,      Pet Supply,   Vaccination,   CBC,   Surgery","Thursday","pussandboots.com","e575bd15-d5c9-4e23-9e81-c5b8b4632fac","9bf3c3f4-e813-463d-b3b6-c317d0b7296a","100","8am to 7pm"
"00e15a15-213e-48a2-a5ca-ea3f6ac6663d","Tuliao Veterinary Clinic","30 Elicano Street, East Bajac-bajac, Olongapo","09182747722","tulinao@gmail.com","Tulinao","Confinement,    Boarding,    Grooming","Monday,   Wednesday,   Friday","tuliao.com","e575bd15-d5c9-4e23-9e81-c5b8b4632fac","99e3ac52-c36f-4bf8-a48d-42ca3cc0b8d4","200","8am to 7pm"
"9df6e628-6719-4684-a34a-3a490e0bcaff","Animal's Choice Veterinary Clinic","kjhlhkjjhlhj","ljhklhjhljk","jhllhhjlhj","hljhkljhjhl","Boarding,    Pet Supply","Wednesday","animalchoice.com","e575bd15-d5c9-4e23-9e81-c5b8b4632fac","50a1dc12-fd44-4eb7-9a05-352f2cf29bba","300","8am to 5pm"
"d06c9507-203a-4705-8d04-7b834c2d1d25","Eryl Vet","Barretto","0909090909","eryl@gmai.com","eryl","Deworming, Pet Supply","Saturday","eryl.com","e575bd15-d5c9-4e23-9e81-c5b8b4632fac","3e1acad2-c814-445d-ad0c-d10659157ae7","400",""
"39c60089-504c-49aa-828a-c1863048bc5a","Vet ng Gapo Animal Clinic","#67 National Hi-way, Brgy. Barretto","09123456789","vetnggapo@gmail.com","Eryl","Home Service,    Deworming","Monday,        Sunday","https://www.facebook.com/VNGAC","e575bd15-d5c9-4e23-9e81-c5b8b4632fac","9004411c-65ee-48dc-8263-ca840fa23f21","300","8am to 5pm"
"74f1c2f5-04da-4a85-850d-9ecffa78a6c9","Eryl","j","j","j","","Confinement, Grooming, Home Service","Monday,  Tuesday","k","d721b71f-99ce-4f91-ad26-bf417e7f370a","99ad8593-c8ee-4e88-a815-dd07d6cb106b","",""
"e4b5017f-ca97-4192-b6a1-3e105a586cab","Tuliao Veterinary Clinic","30 Elicano Street, East Bajac-bajac, Olongapo","09182747722","tulinao@gmail.com","","Confinement,    Boarding,    Grooming","Monday,   Wednesday,   Friday","tuliao.com","d721b71f-99ce-4f91-ad26-bf417e7f370a","99e3ac52-c36f-4bf8-a48d-42ca3cc0b8d4","",""
"d2a9c169-76f6-4d80-aaf7-806c91e639e7","Lil One Stop Vet Clinic","32-C 20th Street, Olongapo","09282371174","lil@gmail.com","","Confinement,   Deworming,   Home Service,  CBC","Monday","lil.com","d721b71f-99ce-4f91-ad26-bf417e7f370a","3cd506e4-17c6-478d-a372-c204edc1a955","",""
"0a0d4d42-9282-440e-bfaf-b88328363330","Raniel Pet Care","Block 4 Guanga Lane","09228379292","raniel@gmail.com","","Confinement, Boarding","Monday","raniel.com","d721b71f-99ce-4f91-ad26-bf417e7f370a","790a0966-2c4f-4c62-947f-ca824700a7d8","",""
"6b3ad6e3-d2f5-41e4-ac6c-9f95da90e118","VJ Pet Doctors","Brill Street, Olongapo","09827378899","vj@gmail.com","","Confinement,    Pet Supply,  Deworming","Saturday,    Sunday","vj.com","d721b71f-99ce-4f91-ad26-bf417e7f370a","ef4506e9-0023-40b2-93b6-4608b4954705","",""
"9b6b32fc-e924-4a14-8242-7a1e10662858","Vet ng Gapo Animal Clinic","#67 National Hi-way, Brgy. Barretto","09123456789","vetnggapo@gmail.com","","Home Service,    Deworming","Monday,        Sunday","https://www.facebook.com/VNGAC","d721b71f-99ce-4f91-ad26-bf417e7f370a","9004411c-65ee-48dc-8263-ca840fa23f21","",""
"644e3963-e0a1-49af-af49-187f3533145f","Office of the City Veterinarian","Arthur Street, Olongapo City Hall","09187278844","office@gmail.com","","Confinement,    Grooming,    Pet Supply,  CBC","Wednesday,    Thursday","office.com","d721b71f-99ce-4f91-ad26-bf417e7f370a","60e863ea-cc0b-4325-b8a2-0f2dd120349c","",""
"f5cdff72-cfca-410a-b21c-2cbb91f64225","AB Housevet Animal Clinic","20th Street Corner, Elicano Street, Olongapo","09123456789","vet2@gmail.com","","Grooming,       Boarding,  CBC","Thursday,       Tuesday,       Wednesday","vet2.com","d721b71f-99ce-4f91-ad26-bf417e7f370a","a3137bee-9fa5-4a93-8d41-6cc86eb01255","",""
"c4bc4f68-69d1-4894-8f13-272e246eceb8","Olongapo City Veterinary Office","Olongapo","09123456788","vet3@gmail.com","","Confinement,   Boarding,  CBC","Friday,     Saturday","vet3.com","d721b71f-99ce-4f91-ad26-bf417e7f370a","8cf7f248-30b2-4cfb-b778-07083823fb39","",""
"cb4081e5-583e-48fb-97ff-bca1dea1ede0","Happy Paws Olongapo","Olongapop","09123456789","vet4@gmail.com","","Confinement,    Boarding","Tuesday,   Saturday","vet4.com","d721b71f-99ce-4f91-ad26-bf417e7f370a","deaf9414-6daa-44c3-80ac-d58062bca2cd","",""
"4140651d-752f-493f-8cec-da4fe45887a8","Kitto's Veterinary Clinic","National Highway, Olongapo City","09199829453","kitto@gmail.com","","Deworming,      Confinement,      Boarding","Monday,    Tuesday,    Wednesday,    Thursday,    Friday","kitt.com","d721b71f-99ce-4f91-ad26-bf417e7f370a","e1a187d6-5dea-4cbe-a799-8ff3f7865bdd","",""
"5617af3e-b023-487e-b56c-1101c7724129","Tuliao Veterinary Clinic","30 Elicano Street, East Bajac-bajac, Olongapo","09182747722","tulinao@gmail.com","","Confinement,     Boarding,     Grooming","Monday,    Wednesday,    Friday","tuliao.com","a27509f3-679f-49ff-ae36-c49393fcbb52","99e3ac52-c36f-4bf8-a48d-42ca3cc0b8d4","",""
"a8c79149-922f-4808-ad69-0dd053713f0a","Raniel Pet Care","Block 4 Guanga Lane","09228379292","raniel@gmail.com","","Confinement, Boarding","Monday","raniel.com","a27509f3-679f-49ff-ae36-c49393fcbb52","790a0966-2c4f-4c62-947f-ca824700a7d8","",""
"8521f81d-0144-4e68-b7e2-9322ff56447c","Eryl","j","j","j","","Confinement, Grooming, Home Service","Monday,  Tuesday","k","a27509f3-679f-49ff-ae36-c49393fcbb52","99ad8593-c8ee-4e88-a815-dd07d6cb106b","",""
"25326c58-ea86-4018-945e-8a25c3a169f2","angeles","magsaysay","090967499","angeles@gmail.com","","Confinement, Boarding, Pet Supply","Monday, Tuesday","angeles.com","a27509f3-679f-49ff-ae36-c49393fcbb52","0f6f3017-3f35-4a0a-9e8c-00b2de1c0892","",""
"4d03e4a5-978a-432c-9218-1a10295743d1","angeles ","magsaysay","090909888","angeles@gmail.com","","Boarding, Confinement, Pet Supply, CBC","Monday, Tuesday, Thursday","angeles.com","a27509f3-679f-49ff-ae36-c49393fcbb52","546bbdde-cde5-4712-b57e-f71eb13a1d05","",""
"e4c1333d-6b1c-46b1-bea8-d789236437b6","Lil One Stop Vet Clinic","32-C 20th Street, Olongapo","09282371174","lil@gmail.com","","Confinement,    Deworming,    Home Service,   CBC","Monday","lil.com","a27509f3-679f-49ff-ae36-c49393fcbb52","3cd506e4-17c6-478d-a372-c204edc1a955","",""
"34573b0b-6b31-49e1-a83b-f384c9074df4","testing","testing","testing","testing","","Confinement","Monday","testing","a27509f3-679f-49ff-ae36-c49393fcbb52","f79808bb-c2bd-4fa9-8cf4-39e3c051e11c","",""
"eec1dd9e-9867-4f32-9985-25b044d0b9ce","VJ Pet Doctors","Brill Street, Olongapo","09827378899","vj@gmail.com","","Confinement,     Pet Supply,   Deworming","Saturday,     Sunday","vj.com","a27509f3-679f-49ff-ae36-c49393fcbb52","ef4506e9-0023-40b2-93b6-4608b4954705","",""
"223f952f-4f10-4740-8f2f-7d5928a6472b","Vet ng Gapo Animal Clinic","#67 National Hi-way, Brgy. Barretto","09123456789","vetnggapo@gmail.com","","Home Service,     Deworming","Monday,         Sunday","https://www.facebook.com/VNGAC","a27509f3-679f-49ff-ae36-c49393fcbb52","9004411c-65ee-48dc-8263-ca840fa23f21","",""
"01634c2b-f4f2-455c-9dec-5863f906a397","Office of the City Veterinarian","Arthur Street, Olongapo City Hall","09187278844","office@gmail.com","","Confinement,     Grooming,     Pet Supply,   CBC","Wednesday,     Thursday","office.com","a27509f3-679f-49ff-ae36-c49393fcbb52","60e863ea-cc0b-4325-b8a2-0f2dd120349c","",""
"b0494137-574a-4e9e-b77e-341b6990110d","Olongapo City Veterinary Office","Olongapo","09123456788","vet3@gmail.com","","Confinement,    Boarding,   CBC","Friday,      Saturday","vet3.com","a27509f3-679f-49ff-ae36-c49393fcbb52","8cf7f248-30b2-4cfb-b778-07083823fb39","",""
"e37b805c-d985-43a8-af66-c110a771f264","Happy Paws Olongapo","Olongapop","09123456789","vet4@gmail.com","","Confinement,     Boarding","Tuesday,    Saturday","vet4.com","a27509f3-679f-49ff-ae36-c49393fcbb52","deaf9414-6daa-44c3-80ac-d58062bca2cd","",""
"99e32fa2-4200-4033-a071-b7f318c48782","Kitto's Veterinary Clinic","National Highway, Olongapo City","09199829453","kitto@gmail.com","","Deworming,       Confinement,       Boarding","Monday,     Tuesday,     Wednesday,     Thursday,     Friday","kitt.com","a27509f3-679f-49ff-ae36-c49393fcbb52","e1a187d6-5dea-4cbe-a799-8ff3f7865bdd","",""
"cfdd39d2-fe18-4ee7-8c3d-04bd989b8649","Eryl Vet","Barretto","0909090909","eryl@gmai.com","","Deworming,   Pet Supply,  Home Service","Saturday","eryl.com","1986a1f0-8941-4e0d-9f26-a9327f7c3d90","3e1acad2-c814-445d-ad0c-d10659157ae7","","1:00 am to 9:00 pm"
"3a4a009a-91ba-437f-90c8-45d8abbf2de3","Eryl","j","j","j","","Confinement, Grooming, Home Service","Monday,  Tuesday","k","1986a1f0-8941-4e0d-9f26-a9327f7c3d90","99ad8593-c8ee-4e88-a815-dd07d6cb106b","","9:00 am to 5:00 pm"
"32b095ed-8514-402d-ab82-24bc6e6f3df4","Vet ng Gapo Animal Clinic","#67 National Hi-way, Brgy. Barretto","09123456789","vetnggapo@gmail.com","","Home Service,     Deworming","Monday,         Sunday","https://www.facebook.com/VNGAC","1986a1f0-8941-4e0d-9f26-a9327f7c3d90","9004411c-65ee-48dc-8263-ca840fa23f21","","8:00 am to 5:00 pm"
"beb4eb2a-ac10-41df-9d44-8784488147a9","AB Housevet Animal Clinic","20th Street Corner, Elicano Street, Olongapo","09123456789","vet2@gmail.com","","Grooming,        Boarding,   CBC","Thursday,        Tuesday,        Wednesday","vet2.com","1986a1f0-8941-4e0d-9f26-a9327f7c3d90","a3137bee-9fa5-4a93-8d41-6cc86eb01255","","9:00 am to 6:00 pm"
"d2b9894d-ca2e-433b-a387-8112a76b0233","Olongapo City Veterinary Office","Olongapo","09123456788","vet3@gmail.com","","Confinement,    Boarding,   CBC","Friday,      Saturday","vet3.com","1986a1f0-8941-4e0d-9f26-a9327f7c3d90","8cf7f248-30b2-4cfb-b778-07083823fb39","","9:00 am to 6:00 pm"
"fbb67cda-314c-4aed-86d3-375926728108","Kitto's Veterinary Clinic","National Highway, Olongapo City","09199829453","kitto@gmail.com","","Deworming,       Confinement,       Boarding","Monday,     Tuesday,     Wednesday,     Thursday,     Friday","kitt.com","1986a1f0-8941-4e0d-9f26-a9327f7c3d90","e1a187d6-5dea-4cbe-a799-8ff3f7865bdd","","9:00 am to 10:00 pm"
